"","have.liberal.policy","opinion","rescale.opinion.","nyt.bypolicygroup.full","rescale.nyt.bypolicygroup.full.","rescale.nyt.bypolicygroup.full....rescale.opinion.","EWM.full","rescale.EWM.full.","Berry.full","rescale.Berry.full.","X.legislative.share.dem.mean.full.","rescale.legislative.share.dem.mean.full.","X.gov.control.mean.dem.full.","rescale.gov.control.mean.dem.full.","Powerful.full.strong.balance","ostate.full","issue.full","term.limits.full","term.limits.full...rescale.opinion.","dirdem.full","dirdem.full...rescale.opinion.","prof.full","rescale.prof.full.","rescale.prof.full....rescale.opinion.","turnout.full","rescale.turnout.full.","rescale.turnout.full....rescale.opinion.","onepartyness.full","rescale.onepartyness.full.","rescale.onepartyness.full....rescale.opinion.","courtelected.full","rescale.opinion....courtelected.full","congruence","size.of.majority","rescale.size.of.majority.","conservative.opinion.majority","flip.EWM.against","flip.Berry.against","flip.gov.control.mean.dem.full","flip.legislative.share.dem.mean.full","flip.powerful.balance.against","policy.direction.full"
"1",1,27.4916846457362,-0.51939884818633,4.42124734782716,-0.567601200568218,0.29481140980431,-21.6205,-0.493796687080742,37.0987281799316,-0.289239304641191,0.397222222553359,-0.482485585376286,0.611111111111111,0.301969324298017,0,"AK","abortionnotification",0,0,1,-0.51939884818633,0.226999998092651,0.190968460568662,-0.0991887984592796,68.5,0.677592648746819,-0.351940841298622,5,-0.189217475080368,0.0982793386134686,1,-0.51939884818633,0,72.5083153542638,0.271867104308048,1,-0.493796687080742,-0.289239304641191,-0.301969324298017,0.482485585376286,0,"conservative"
"2",0,12.5256470070138,-0.899148840554272,4.42124734782716,-0.567601200568218,0.510357961388126,-23.1000003814697,-0.597492666086825,47.0178184509277,-0.0253498426839327,0.696878671646118,0.576405665996073,0.316666666004393,-0.297894777016727,-1,"AL","abortionnotification",0,0,0,0,0.0710000023245811,-0.490749611388378,0.44125694408232,56.8699989318848,-0.305712362560203,0.274880916339113,5,-0.189217475080368,0.17013467333112,1,-0.899148840554272,1,87.4743529929862,0.988525086626741,1,-0.597492666086825,-0.0253498426839327,0.297894777016727,-0.576405665996073,-1,"conservative"
"3",0,12.0065829415444,-0.912319632961641,4.42124734782716,-0.567601200568218,0.517833718970983,-18.2999992370605,-0.261067732282227,53.6463203430176,0.150996147734259,0.809487592842844,0.974330028520909,0.416666666666667,-0.0941673454905274,0,"AR","abortionnotification",1,-0.912319632961641,1,-0.912319632961641,0.105999998748302,-0.337800055441235,0.308181622594569,51.6300010681152,-0.74874896492207,0.683098380858112,7,0.036041423824832,-0.0328812985552857,1,-0.912319632961641,1,87.9934170584556,1.01338079091088,1,-0.261067732282227,0.150996147734259,0.0941673454905274,-0.974330028520909,0,"conservative"
"4",0,28.3307345039227,-0.498108698787116,4.42124734782716,-0.567601200568218,0.28272709544504,-18.2000007629395,-0.254058988112252,25.1970996856689,-0.605872610111729,0.414814816580878,-0.420318914306513,0.344444444610013,-0.24130382250325,1,"AZ","abortionnotification",1,-0.498108698787116,1,-0.498108698787116,0.23199999332428,0.212818378527428,-0.106006685606281,51.9000015258789,-0.725920695034625,0.361587412826336,10,0.373929772182632,-0.186257672259654,1,-0.498108698787116,1,71.6692654960773,0.231688682139917,1,-0.254058988112252,-0.605872610111729,0.24130382250325,0.420318914306513,1,"conservative"
"5",1,34.827117737191,-0.333268709552433,4.42124734782716,-0.567601200568218,0.189163719653781,-6.19999980926514,0.587003212716017,58.1791305541992,0.271587937414883,0.59260172314114,0.207923863498484,0.277777777777778,-0.377122109625202,0,"CA","abortionnotification",1,-0.333268709552433,1,-0.333268709552433,0.625999987125397,1.93459352860188,-0.644739488785637,58.7299995422363,-0.148451162799263,0.0494741274576685,5,-0.189217475080368,0.0630602637448038,1,-0.333268709552433,0,65.172882262809,-0.0793946528556572,1,0.587003212716017,0.271587937414883,0.377122109625202,-0.207923863498484,0,"conservative"
"6",0,33.6972026724243,-0.361939306779276,4.42124734782716,-0.567601200568218,0.205437185060745,-8.60000038146973,0.418790745813718,39.3232498168945,-0.230057685979355,0.443711853689618,-0.318205911640735,0.5,0.0756055129902774,0,"CO","abortionnotification",1,-0.361939306779276,1,-0.361939306779276,0.202000007033348,0.0817188056569419,-0.0295772478703039,64.6699981689453,0.35376980713796,-0.128043198754951,4,-0.301846924532968,0.109250266618919,1,-0.361939306779276,1,66.3027973275757,-0.0252879701080432,1,0.418790745813718,-0.230057685979355,-0.0756055129902774,0.318205911640735,0,"conservative"
"7",1,28.7782210426724,-0.486754122928288,4.42124734782716,-0.567601200568218,0.276282224555626,-4.40000009536743,0.713162512761532,63.1541404724121,0.403944096566702,0.596128698852327,0.220387081746199,0.166666666666667,-0.603485920932942,0,"CT","abortionnotification",0,0,0,0,0.189999997615814,0.0292789113908556,-0.014251630834351,64.6999969482422,0.35630617406028,-0.173433499248645,1,-0.639735272890767,0.311393781662234,0,0,0,71.2217789573276,0.210260512057985,1,0.713162512761532,0.403944096566702,0.603485920932942,-0.220387081746199,0,"conservative"
"8",0,33.0465731625875,-0.378448456185369,4.42124734782716,-0.567601200568218,0.214807798084004,-12.1999998092651,0.166472145722689,65.0175628662109,0.453518958722816,0.50509744303094,-0.101288626160449,0.833333333333333,0.754696946913497,-1,"DE","abortionnotification",0,0,0,0,0.148000001907349,-0.154260555745717,0.0583796691722635,63.1300010681152,0.223564585506806,-0.0846076722427725,0,-0.752364722343367,0.284731267659181,0,0,1,66.9534268374125,0.00586782697148625,1,0.166472145722689,0.453518958722816,-0.754696946913497,0.101288626160449,-1,"conservative"
"9",0,29.3739421837065,-0.471638224904899,4.42124734782716,-0.567601200568218,0.267702422689884,-17.1000003814697,-0.176961599093497,37.1711311340332,-0.287313081965524,0.441025638745891,-0.327698146871546,0.444444444444444,-0.0375763926635925,-1,"FL","abortionnotification",1,-0.471638224904899,1,-0.471638224904899,0.223000004887581,0.173488539225228,-0.0818238266815306,62.5999984741211,0.178753393863071,-0.0843069333773049,7,0.036041423824832,-0.0169985131557889,1,-0.471638224904899,1,70.6260578162935,0.181734036228907,1,-0.176961599093497,-0.287313081965524,0.0375763926635925,0.327698146871546,-1,"conservative"
"10",0,18.7081408719009,-0.742273516926117,4.42124734782716,-0.567601200568218,0.421315339357257,-17.7000007629395,-0.219014732529475,59.2100296020508,0.299014181922937,0.605634195937051,0.253976506347048,0.722222222222222,0.528333135605757,-1,"GA","abortionnotification",0,0,0,0,0.11599999666214,-0.294100186964758,0.218302780106959,54.4700012207031,-0.508629779567176,0.377542415292684,10,0.373929772182632,-0.277558167081384,1,-0.742273516926117,1,81.2918591280991,0.692472538459695,1,-0.219014732529475,0.299014181922937,-0.528333135605757,-0.253976506347048,-1,"conservative"
"11",1,31.026528380796,-0.42970530913377,4.42124734782716,-0.567601200568218,0.243901249354865,-8.356,0.435892369274759,85.4308166503906,0.996597246220161,0.835206980506579,1.06521422163685,0.722222222222222,0.528333135605757,0,"HI","abortionnotification",0,0,0,0,0.224999994039536,0.182228467337999,-0.078304539890448,47.6300010681152,-1.08694498246255,0.46706602970047,13,0.711818120540431,-0.305872025533845,0,0,0,68.973471619204,0.102598922566652,1,0.435892369274759,0.996597246220161,-0.528333135605757,-1.06521422163685,0,"conservative"
